name,sex,birth_date,death_date,age
Charlotte Hughes,F,01/08/1877,17/03/1993,"115 years, 228 days"
Annie Jennings,F,12/12/1884,20/11/1999,"115 years, 8 days"
Eva Morris,F,08/11/1885,02/11/2000,"114 years, 360 days"
Ethel Lang,F,27/05/1900,15/01/2015,"114 years, 233 days"
Anna Eliza Williams,F,02/06/1873,27/12/1987,"114 years, 208 days"
Grace Clawson,F,15/11/1887,28/05/2002,"114 years, 194 days"
Lucy Jane Askew,F,08/09/1883,09/12/1997,"114 years, 92 days"
Florrie Baldwin,F,31/03/1896,08/05/2010,"114 years, 38 days"
Amy Hulmes,F,05/10/1887,27/10/2001,"114 years, 22 days"
Miriam Carpelan,F,08/07/1882,22/06/1996,"113 years, 350 days"
