Month,Month Name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Min,Max,Av,Min_to_av,Av_to_max
1,Jan,51385,45195,46835,43882,49492,45929,57034,44387,53675,60075,50383,53045,43882,60075,49842.90909,5960.909091,10232.09091
2,Feb,38726,38366,36733,41861,41002,38566,43727,43033,44815,45918,42848,40806,36733,45918,41417.72727,4684.727273,4500.272727
3,Mar,39603,42235,41342,41299,41915,38573,44809,45308,45594,47726,41116,46508,38573,47726,42683.63636,4110.636364,5042.363636
4,Apr,37717,37975,34521,38928,46352,38729,42286,43755,36422,43478,41164,83504,34521,46352,40120.63636,5599.636364,6231.363636
5,May,34193,34163,37437,41087,39475,36880,36713,38716,41383,39951,41503,49413,34163,41503,38318.27273,4155.272727,3184.727273
6,Jun,36299,37530,37398,34303,33503,36058,39289,39378,39447,37213,36180,39885,33503,39447,36963.45455,3460.454545,2483.545455
7,Jul,35426,34380,33275,36657,37260,38512,37916,36484,35940,38059,39604,38184,33275,39604,36683,3408,2921
8,Aug,31479,33775,35924,36435,33322,33640,33823,38006,38341,37610,36269,34751,31479,38341,35329.45455,3850.454545,3011.545455
9,Sep,36570,36842,35893,32934,34350,38339,38876,37742,37535,34682,37462,39822,32934,38876,36475,3541,2401
10,Oct,37565,36159,34740,40394,39585,40201,39458,37835,40745,41466,43259,43264,34740,43259,39218.81818,4478.818182,4040.181818
11,Nov,37487,39409,38020,39330,37322,36967,38883,43523,42690,40971,42267,47911,36967,43523,39715.36364,2748.363636,3807.636364
12,Dec,42791,44988,40744,39669,39974,46481,42495,42624,42295,38710,44295,52673,38710,46481,42278.72727,3568.727273,4202.272727
